healpix,survey,program,fiber,targetid,ra,dec,wavelength,flux,significance,n_fibers,fwhm_pixels,band
4108,main,bright,124,-246877366,135.48085248921677,2.9666359203403614,6404.800000000147,5.4868693351745605,5.2594170570373535,2,1,R
4108,main,bright,125,-246877247,135.25502008196563,3.1122011611540707,6843.200000000246,10.268173217773438,7.948850631713867,2,3,R
4108,main,bright,126,-246877305,135.37627151702543,2.9770285437002357,7264.000000000342,6.432351112365723,7.368643760681152,2,1,R
4108,main,bright,141,-246877273,135.32933641564898,2.7609521693112877,6404.800000000147,7.23381233215332,6.924503326416016,2,3,R
4108,main,bright,141,-246877273,135.32933641564898,2.7609521693112877,6407.200000000147,6.486697673797607,5.087410926818848,2,3,R
4108,main,bright,141,-246877273,135.32933641564898,2.7609521693112877,7069.600000000298,4.927854061126709,5.011311054229736,2,2,R
4108,main,bright,144,-246877271,135.3211739908549,2.8446558545285483,6749.600000000225,6.030195713043213,5.9473185539245605,2,1,R
4108,main,bright,151,-246877429,135.57132860645277,3.0803295404972486,7460.800000000387,9.093791961669922,9.42777156829834,2,1,R
4108,main,bright,14,-262310477,134.79116512157594,3.104874410170702,8981.600000000333,4.436634540557861,8.010567665100098,2,3,Z
4108,main,bright,24,-215281273,134.99561135151558,2.5018853992706243,9804.80000000052,9.97545337677002,7.374779224395752,2,3,Z
4108,main,bright,43,-215282118,135.11628501964404,2.979628342159532,7919.200000000091,4.729218482971191,5.36761474609375,2,3,Z
4108,main,bright,43,-215282118,135.11628501964404,2.979628342159532,9718.4000000005,5.817466735839844,7.000077724456787,2,1,Z
4108,main,bright,43,-215282118,135.11628501964404,2.979628342159532,9789.600000000515,5.6357927322387695,5.320921421051025,2,2,Z
4108,main,bright,53,-215282222,134.8424628047137,3.1846917449425094,8852.000000000302,7.288123607635498,6.019005298614502,2,2,Z
4108,main,bright,53,-215282222,134.8424628047137,3.1846917449425094,9758.400000000509,7.86858606338501,8.522016525268555,2,1,Z
4108,main,bright,56,-215282208,134.90962798285972,2.599872928709879,9591.20000000047,4.61407470703125,5.59395170211792,2,1,Z
4108,main,bright,85,-231065119,135.02995040921402,3.2902449770375073,8145.600000000142,6.598160266876221,9.59102725982666,1,2,Z
4108,main,bright,85,-231065119,135.02995040921402,3.2902449770375073,8726.400000000274,4.927143096923828,9.414237022399902,2,2,Z
4108,main,bright,85,-231065119,135.02995040921402,3.2902449770375073,8859.200000000304,7.042635917663574,13.400725364685059,2,1,Z
4108,main,bright,87,-231065158,135.07323164622235,3.3914729348414725,8859.200000000304,3.5570411682128906,6.807215213775635,2,1,Z
4108,main,bright,92,-231065169,134.93528437673012,3.4560703636890566,8852.000000000302,9.000629425048828,7.409911632537842,2,1,Z
4108,main,bright,114,-246877190,135.15216288825843,2.7630020557401465,8031.200000000116,20.525007247924805,22.75727081298828,1,3,Z
4108,main,bright,114,-246877190,135.15216288825843,2.7630020557401465,8032.000000000116,13.537018775939941,13.49288272857666,2,2,Z
4108,main,bright,114,-246877190,135.15216288825843,2.7630020557401465,8398.4000000002,8.008493423461914,9.742597579956055,2,3,Z
4108,main,bright,114,-246877190,135.15216288825843,2.7630020557401465,9435.200000000435,8.050684928894043,12.677059173583984,2,2,Z
4108,main,bright,124,-246877366,135.48085248921677,2.9666359203403614,8981.600000000333,6.320358753204346,11.46873950958252,2,3,Z
4108,main,bright,124,-246877366,135.48085248921677,2.9666359203403614,9718.4000000005,5.520022869110107,6.644098281860352,2,4,Z
4108,main,bright,124,-246877366,135.48085248921677,2.9666359203403614,9804.80000000052,16.35108184814453,11.949555397033691,2,1,Z
4108,main,bright,124,-246877366,135.48085248921677,2.9666359203403614,9817.600000000522,6.681511878967285,6.7100443840026855,1,1,Z
4108,main,bright,125,-246877247,135.25502008196563,3.1122011611540707,8991.200000000335,24.530664443969727,13.224642753601074,2,1,Z
4108,main,bright,126,-246877305,135.37627151702543,2.9770285437002357,7788.000000000061,6.345907211303711,7.845337867736816,2,3,Z
4108,main,bright,126,-246877305,135.37627151702543,2.9770285437002357,7919.200000000091,6.631515979766846,7.583483695983887,2,3,Z
4108,main,bright,141,-246877273,135.32933641564898,2.7609521693112877,8041.600000000119,4.924042224884033,7.555719375610352,2,2,Z
4108,main,bright,151,-246877429,135.57132860645277,3.0803295404972486,9682.400000000493,15.49039077758789,7.557650566101074,1,1,Z
4129,main,bright,163,-215458209,133.47660089551022,3.589285646398293,9288.800000000403,12.908353805541992,13.675381660461426,2,3,Z
4110,main,bright,85,-215283454,134.55357589087146,3.8173667529405315,4384.000000000178,64.11554718017578,16.910226821899414,1,2,B
4110,main,bright,85,-215283454,134.55357589087146,3.8173667529405315,5196.000000000363,15.961910247802734,6.5868306159973145,2,2,B
4110,main,bright,85,-215283454,134.55357589087146,3.8173667529405315,5417.600000000413,13.514479637145996,5.841189384460449,2,2,B
4110,main,bright,100,-246874222,133.8504106607889,3.6583474238313944,5629.6000000004615,18.85385513305664,8.647041320800781,2,1,B
4110,main,bright,111,-231064284,134.26967537880486,3.462923986656969,4070.400000000107,27.919769287109375,5.284050941467285,1,3,B
4110,main,bright,111,-231064284,134.26967537880486,3.462923986656969,4301.6000000001595,39.78598403930664,10.025721549987793,1,2,B
4110,main,bright,111,-231064284,134.26967537880486,3.462923986656969,5477.600000000427,52.898014068603516,21.935447692871094,2,1,B
4110,main,bright,122,-231064464,133.86701223078597,3.611651039033508,4755.200000000263,18.138742446899414,5.683316707611084,2,1,B
4110,main,bright,135,-231064450,134.12141920713594,3.6971317216977346,5196.000000000363,94.93611907958984,39.04979705810547,2,1,B
4110,main,bright,160,-246875158,134.2902265368894,3.575475652531373,4416.0000000001855,22.082372665405273,5.551449775695801,2,1,B
4110,main,bright,170,-246875133,134.31608450026252,3.49982875598733,4755.200000000263,18.99477767944336,5.951687335968018,2,1,B
