rank,targetid,gaia_source_id,S,delta_rv_kms,rv_err_median_kms,n_epochs,mjd_span_days,rv_median_kms
134,39628011636527921,4444230947273046016,35.2692,81.0199,1.6121,2,0.9918,-19.4493
135,39627885446696833,4436317938187866880,35.0477,52.0619,1.0439,2,0.9938,25.6234
136,39633453083264232,1059777790104350976,35.0466,8.5826,0.1383,3,42.8425,-54.3415
137,39627648653066518,3776700880951789312,34.8010,20.2710,0.4018,2,31.8694,-1.8601
138,39633224715996612,1508151652589915904,34.6357,79.0495,1.5177,2,0.9819,-101.9944
139,39628396552004729,4593868707378225024,34.5755,69.2112,1.3202,2,1.9873,5.4255
140,39633029903156257,1522476334890544896,34.3351,16.2147,0.3241,2,6.9697,31.2337
141,39627842610269559,3664413221605522176,34.2103,58.1742,1.1977,2,24.9260,-75.9501
142,39627758065681906,3659504280144586496,34.1186,13.7318,0.2843,2,250.3105,-12.2935
143,39627844908749095,2658387600045739904,34.0641,94.1198,1.6634,3,22.9637,-132.6381
144,39627711542466155,6912894865303726976,33.7523,32.6764,0.6813,2,2.0086,27.0883
145,39633455675343349,1056779623758720128,33.6233,16.3179,0.3414,2,55.9071,-22.1056
146,39628507139019047,1456533159374295424,33.3236,47.2163,0.9917,2,39.8921,21.0151
